sample_name	region	bin_num	C_number	T_number	Methylation_level
D1-5	Upstream	-9	486542	437429	0.526577132832091
D1-5	Upstream	0	467492	473271	0.496928556926665
D63-5	Body	1	5545576	5038426	0.52395832880606
D63-5	Body	10	5312511	2942451	0.643553658999278
D63-5	Body	11	5393677	2936283	0.647503349355819
D63-5	Body	12	5354206	2851086	0.652530830103304
D63-5	Body	13	5298033	2879977	0.647838899683419
D63-5	Body	14	5385523	2863748	0.652848354721284
D63-5	Body	15	5390101	2938443	0.647184069628497
D63-5	Body	16	5399942	2854650	0.654174306858534
D63-5	Body	17	5320162	2839390	0.652016434235605
D63-5	Body	18	5381884	2817073	0.656410809326113
D63-5	Body	19	5363554	2811661	0.656074977844619
D63-5	Body	2	5671827	3860872	0.594986477596744
D63-5	Body	20	5315774	2794663	0.655423869268697
D63-5	Body	21	5397053	2834055	0.655689732172145
D63-5	Body	22	5424891	2807615	0.658959859853124
D63-5	Body	23	5281754	2809599	0.652765242104751
D63-5	Body	24	5309299	2759635	0.657992617116462
D63-5	Body	25	5418290	2815583	0.658048770001675
D63-5	Body	26	5430174	2769915	0.662209154071377
D63-5	Body	27	5307989	2807106	0.654088337844474
D63-5	Body	28	5332992	2704184	0.66354052717024
D63-5	Body	29	5359598	2781525	0.658336448177973
D63-5	Body	3	5538263	3501706	0.612641813262855
D63-5	Body	30	5351016	2791710	0.657152899409854
D63-5	Body	31	5385560	2865521	0.652709626774964
D63-5	Body	32	5402407	2817173	0.657260711617869
D63-5	Body	33	5307000	2799777	0.654637471833751
D63-5	Body	34	5384585	2835985	0.655013581783258
D63-5	Body	35	5383762	2763251	0.660826489413973
D63-5	Body	36	5378659	2797563	0.657841604594396
D63-5	Body	37	5313508	2811134	0.653999031588099
D63-5	Body	38	5342245	2826723	0.653968163420398
D63-5	Body	39	5388800	2786058	0.659191878317642
D63-5	Body	4	5471318	3288894	0.624564565332437
D63-5	Body	40	5388810	2794013	0.658551455897311
D63-5	Body	41	5391410	2826506	0.656055622861076
D63-5	Body	42	5390645	2827767	0.655922944724601
D63-5	Body	43	5365951	2855816	0.652651796140659
D63-5	Body	44	5312986	2868401	0.649399178892283
D63-5	Body	45	5409255	2850432	0.654898303047077
D63-5	Body	46	5387809	2903781	0.649792018177454
D63-5	Body	47	5367228	2921798	0.647510093465746
D63-5	Body	48	5446349	2911216	0.651666962805554
D63-5	Body	49	5353635	2929444	0.646333929689672
D63-5	Body	5	5380929	3232554	0.624710004071524
D63-5	Body	50	5333965	2922035	0.646071342054264
D63-5	Body	51	5443335	2955734	0.648087901170951
D63-5	Body	52	5517563	2996059	0.648086443114341
D63-5	Body	53	5434471	3032940	0.641810229832944
D63-5	Body	54	5433603	3056842	0.639966809749077
D63-5	Body	55	5442060	3081422	0.638478499749281
D63-5	Body	56	5498072	3156096	0.635309136591756
D63-5	Body	57	5581410	3268012	0.630708988677453
D63-5	Body	58	5611285	3429856	0.620639032175253
D63-5	Body	59	5722048	3921803	0.593336417163641
D63-5	Body	6	5453632	3153922	0.633586730911011
D63-5	Body	60	5573189	4972079	0.528501409352517
D63-5	Body	7	5438372	3095019	0.6373049119629
D63-5	Body	8	5383488	3036263	0.639388029408471
D63-5	Body	9	5315458	2950930	0.643020627630835
D63-5	Downstream	61	621333	746800	0.454146636328486
D63-5	Downstream	62	552011	758347	0.421267317786437
D63-5	Downstream	63	523734	742955	0.413466920451666
D63-5	Downstream	64	520909	746334	0.411056916471427
D63-5	Downstream	65	553983	705022	0.44001652098284
D63-5	Downstream	66	560024	705710	0.44244999344254
D63-5	Downstream	67	599517	685523	0.466535672041337
D63-5	Downstream	68	601266	676305	0.470632160560939
D63-5	Downstream	69	630444	629883	0.500222561287666
D63-5	Downstream	70	640311	607484	0.513154003662461
D63-5	Downstream	71	637212	589312	0.519526727565054
D63-5	Downstream	72	665995	580366	0.534351604390702
D63-5	Downstream	73	666003	559857	0.543294503450639
D63-5	Downstream	74	673001	545196	0.55245662236896
D63-5	Downstream	75	666623	530605	0.556805387110893
D63-5	Downstream	76	675335	521266	0.564377766690818
D63-5	Downstream	77	666591	519478	0.562017049598295
D63-5	Downstream	78	684691	508164	0.573993486215843
D63-5	Downstream	79	700642	516893	0.575459432377714
